duns,cleanName,vendorName,origName,url
79627382,Montrose Air Quality Services,"Montrose Air Quality Services, LLC","MONTROSE AIR QUALITY SERVICES, LLC",
80956862,San Diego Power,"San Diego Power, LLC","SAN DIEGO POWER, LLC",
78537385,United Tactical Systems,"United Tactical Systems, LLC","UNITED TACTICAL SYSTEMS, LLC",
968509575,Risklens,"Risklens, Inc.","RISKLENS, INC.",
15490144,Goodco Mechanical,Goodco Mechanical Inc,GOODCO MECHANICAL INC,
93315810,Helgen Industries,"Helgen Industries, Inc.","HELGEN INDUSTRIES, INC.",
79539589,Kapsuun Group,"Kapsuun Group, LLC","KAPSUUN GROUP, LLC",
80406524,ARS Aleut Construction,"ARS Aleut Construction, LLC","ARS ALEUT CONSTRUCTION, LLC",
807840608,Vermont State Colleges,Vermont State Colleges,VERMONT STATE COLLEGES,
135745219,Gaylord Bros.,"Gaylord Bros., Inc.","GAYLORD BROS., INC.",
783194116,Tailored Training Programs,"Tailored Training Programs, LLC","TAILORED TRAINING PROGRAMS, L.L.C.",
806873761,Rudman Wink Associates,"Rudman Wink Associates, LLC","RUDMAN WINK ASSOCIATES, LLC",
80000464,Global Traveler,Global Traveler LLC,GLOBAL TRAVELER LLC,
623425563,Testequity,Testequity LLC,TESTEQUITY LLC,
16538643,Modular Concepts,"Modular Concepts, Inc.","MODULAR CONCEPTS, INC.",
27839211,Forbes,"Forbes, Inc., C.","FORBES, INC., C.",
9557104,at Your Service Heating & Cooling,At Your Service Heating & Cooling LLC,"AT YOUR SERVICE HEATING & COOLING, LLC",
68267934,Tucson Hotels,Tucson Hotels LP,TUCSON HOTELS LP,
6213482,U.S. Bancorp,U.S. Bancorp,U.S. BANCORP,
31414766,Kalos,"Kalos, Inc.","KALOS, INC.",
149530219,Dell Federal Systems,Dell Federal Systems L.P.,DELL FEDERAL SYSTEMS L.P.,
957050883,Govplace,Govplace,GOVPLACE,
107939357,Unicom Government,"Unicom Government, Inc.",GTSI CORP.,
98692374,Immixtechnology,"Immixtechnology, Inc.","IMMIXTECHNOLOGY, INC.",
623624751,Fronteo Government Services,"Fronteo Government Services, Inc.","FRONTEO GOVERNMENT SERVICES, INC.",
619719693,Wildflower International,"Wildflower International, Ltd.","WILDFLOWER INTERNATIONAL, LTD.",
605928246,Akira Technologies,"Akira Technologies, Inc.","AKIRA TECHNOLOGIES, INC",
45006140,Interactive Communications Solutions Group,"Interactive Communications Solutions Group, Inc.","INTERACTIVE COMMUNICATIONS SOLUTIONS GROUP, INC.",
786468199,DLT Solutions,"Dlt Solutions, LLC","DLT SOLUTIONS, LLC",
938289527,Executive Information Systems,"Executive Information Systems, LLC","EXECUTIVE INFORMATION SYSTEMS,",
790472240,Avaya Federal Solutions,"Avaya Federal Solutions, Inc.","AVAYA FEDERAL SOLUTIONS, INC.",
109448030,Actionable Intelligence Technologies,"Actionable Intelligence Technologies, Inc.","ACTIONABLE INTELLIGENCE TECHNOLOGIES, INC.",
622594492,Knight Point Systems,"Knight Point Systems, LLC","KNIGHT POINT SYSTEMS, LLC",
22567908,MCP Computer Products,MCP Computer Products Inc.,MCP COMPUTER PRODUCTS INC.,
78368261,Patriot Comm,Patriot Comm,PATRIOT COMM,
103312802,Acuity,"Acuity, Inc.","ACUITY, INC.",
119514144,Trofholz Technologies,"Trofholz Technologies, Inc.","TROFHOLZ TECHNOLOGIES, INC.",
78374942,Westwind Team,Westwind Team LLP,WESTWIND TEAM LLP,
781797712,Emergent,"Emergent, LLC","EMERGENT, LLC",
78374272,V3 Gate Team,"V3 Gate Team, LLP","V3 GATE TEAM, LLP",
184347024,Wexler Technical Solutions,"Wexler Technical Solutions, Inc.","WEXLER TECHNICAL SOLUTIONS, INC.",
81030226,Veteran Technology Partners II,Veteran Technology Partners II LLC,VETERAN TECHNOLOGY PARTNERS II LLC,
942320656,Venture Netcomm,"Venture Netcomm, Inc.","VENTURE NETCOMM, INC.",
877936518,Dell Marketing,Dell Marketing L.P.,DELL MARKETING L.P.,
195590237,Zones,"Zones, Inc","ZONES, INC.",
190856190,Hawaiian Telcom Services Company,"Hawaiian Telcom Services Company, Inc","HAWAIIAN TELCOM SERVICES COMPANY, INC",
623506107,Swish Data Corporation,Swish Data Corporation,SWISH DATA CORPORATION,
22676698,Metrotec,"Metrotec, Inc.","METROTEC, INC.",
884261082,Fedresults,"Fedresults, Inc.","FEDRESULTS, INC.",
78643840,RSTUDIO,"Rstudio, Inc.","RSTUDIO, INC.",
80388745,DialToneServices,DIALTONESERVICES L.P.,DIALTONESERVICES L.P.,
30963826,Mavagi Enterprises,Mavagi Enterprises Inc,MAVAGI ENTERPRISES INCORPORATED,
1818012,Sharp Electronics Corporation,Sharp Electronics Corporation,SHARP ELECTRONICS CORPORATION,
806933284,One Stop Environmental,"One Stop Environmental, LLC","ONE STOP ENVIRONMENTAL, LLC",
79845709,Proxdose Radiation Sensors,"Proxdose Radiation Sensors, LLC","PROXDOSE RADIATION SENSORS, LLC",
102793460,CSI Aviation,"Csi Aviation, Inc.","CSI AVIATION SERVICES, INC.",
608717450,XL Associates,"Xl Associates, Inc.","XL ASSOCIATES, INC.",
167646140,National Commission on Correctional Health Care,National Commission On Correctional Health Care,NATIONAL COMMISSION ON CORRECTIONAL HEALTH CARE,
9741190,Danya International,Danya International LLC,DANYA INTERNATIONAL LLC,
133090261,The Nakamoto Group,The Nakamoto Group Inc,"NAKAMOTO GROUP, INC., THE",
6928857,Booz Allen Hamilton,Booz Allen Hamilton Inc.,BOOZ ALLEN HAMILTON INCORPORATED (3626),
141544648,Fleet Management Solutions,"Fleet Management Solutions, Inc.","FLEET MANAGEMENT SOLUTIONS, INC.",
826662421,Migrant Clinicians Network,Migrant Clinicians Network,MIGRANT CLINICIANS NETWORK INC,
362572737,Best-TEC Asbestos Abatement,"Best-TEC Asbestos Abatement, Inc.","BEST-TEC ASBESTOS ABATEMENT, INC.",
62164900,American Alarm & Communications,"American Alarm & Communications, Inc.","AMERICAN ALARM & COMMUNICATIONS, INC.",
30783757,County of Clark,County of Clark,COUNTY OF CLARK,
23170694,Osirus,"Osirus, Inc.","OSIRUS, INC.",
825229318,McKinsey & Company,"McKinsey & Company, Inc. Washington D.C.","MCKINSEY & COMPANY, INC. WASHINGTON D.C.",
879016178,Maryland Dept of Public Safety & Correctional Services,Maryland Dept of Public Safety & Correctional Services,"PUBLIC SAFETY & CORRECTIONAL SERVICES, MARYLAND DEPT OF",
12630106,Aircraft Transport Services,"Aircraft Transport Services, Inc.","AIRCRAFT TRANSPORT SERVICES, INC.",
790555457,Zephyr Aviation,"Zephyr Aviation, LLC","ZEPHYR AVIATION, LLC",
94016941,San Diego Association of Governments,San Diego Association of Governments,SAN DIEGO ASSOCIATION OF GOVERNMENTS,
37619129,National Law Enforcement Telecommunications Systems,NATIONAL LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEMS INC,NATIONAL LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEMS INC,www.nlets.org
36039951,Presidential Aviation,"Presidential Aviation, Inc.","PRESIDENTIAL AVIATION, INC.",
9741828,Asset Protection & Security Services,"Asset Protection & Security Services, LP","ASSET PROTECTION & SECURITY SERVICES, L.P.",
53117149,Ben Fitzgerald Real Estate Services,"Ben Fitzgerald Real Estate Services, L.L.C.",BEN FITZGERALD REAL ESTATE SERVICES LLC,
969820914,Jasper Sawyer Company,Jasper Sawyer Company LLC,JASPER SAWYER COMPANY L.L.C,
45155244,Stat Courier Service,"Stat Courier Service, Inc.",STAT COURIER INC,
613208388,Neo Technologies,"Neo Technologies, Inc.","NEO TECHNOLOGIES, INC.",
621647056,Copier Fax Business Technologies,"Copier Fax Business Technologies, Inc.","COPIER FAX BUSINESS TECHNOLOGIES, INC.",
88389739,Aramark Uniform & Career Apparel,"Aramark Uniform & Career Apparel, LLC","ARAMARK UNIFORM & CAREER APPAREL, LLC",
38062712,Document Imaging Dimensions,"Document Imaging Dimensions, Inc.",DOCUMENT IMAGING DIMENSIONS,
56294614,Data-Pages,"Data-Pages, Inc.",DATA PAGES INCORPORATED,
932463313,R A Mechanical & Sons,"R A Mechanical & Sons, Inc.","R A MECHANICAL & SONS, INC.",
107689713,B.V. Oil Company,"B.V. Oil Company, Inc.","B.V. OIL COMPANY, INC.",
958098352,J.P. Industries,"J.P. Industries, Inc.",J P INDUSTRIES INC,
94160959,B.i.,B.I. Incorporated,B.I. INCORPORATED,
784737723,Alutiiq Diversified Services,"Alutiiq Diversified Services, LLC","ALUTIIQ DIVERSIFIED SERVICES, LLC",http://www.alutiiq.com
949053185,Bromberg & Associates,"Bromberg & Associates, L.L.C.",BROMBERG AND ASSOCIATES LIMITED LIABILITY COMPANY,
621804913,Trinity Services Group,"Trinity Services Group, Inc.","TRINITY SERVICES GROUP, INC.",
29127727,New Life Chinese Laundry,New Life Chinese Laundry Inc,NEW LIFE CHINESE LAUNDRY INC,
828164087,Buddy’S Snack Bar,Buddy’s Snack Bar,BUDDY'S SNACK BAR,
78360656,Act Services,Act Services Corp,ACT SERVICES CORP,
808805154,Texas Commission on Environmental Quality,"Environmental Quality, Texas Commission On","ENVIRONMENTAL QUALITY, TEXAS COMMISSION ON",
30786248,County of Lane,County of Lane,COUNTY OF LANE,
932061653,Allways Shred,"Allways Shred, Inc.","KLEMES FAMILY HOLDINGS, INC.",
939827127,Language Training Center,"Language Training Center, Inc.","LANGUAGE TRAINING CENTER, INC.",
80438446,Brown Point Facility Management Solutions,Brown Point Facility Management Solutions LLC,"BROWN POINT FACILITY MANAGEMENT SOLUTIONS, LLC",
786235663,Sperry West,Sperry West Inc,SPERRY WEST INC,
79529872,Guidehouse,Guidehouse LLP,PRICEWATERHOUSECOOPERS PUBLIC SECTOR LLP,
111899506,California Highway Patrolman’S Club,California Highway Patrolman’s Club,CALIFORNIA HIGHWAY PATROLMAN'S CLUB,
126166768,Unifirst Corporation,Unifirst Corporation,UNIFIRST CORPORATION,
1376735,Utah Communications Authority,Utah Communications Authority,UTAH COMMUNICATIONS AUTHORITY,
46263810,County of Musselshell,County of Musselshell,"MUSSELSHELL, COUNTY OF",
603547944,County of Bonner,County of Bonner,"BONNER, COUNTY OF",
111642997,County of Latah,County of Latah,"LATAH, COUNTY OF",
70922810,County of Twin Falls,County of Twin Falls,COUNTY OF TWIN FALLS,
832229079,Arcos de Oro,"Arcos De Oro, LLC","ARCOS DE ORO, LLC",
57900928,Blueline Tactical and Police Supply,"Blueline Tactical and Police Supply, LLC","BLUELINE TACTICAL AND POLICE SUPPLY, LLC",
79488432,Elite Shooting Sports,Elite Shooting Sports LLC,ELITE SHOOTING SPORTS LLC,
136890881,Talton Communications,"Talton Communications, Inc.","TALTON COMMUNICATIONS, INC.",
34302497,"MacRo Companies, Inc. of Delaware","Macro Companies, Inc. of Delaware","MACRO COMPANIES, INC.",
791326312,Metro Office Products,"Metro Office Products, LLC","METRO OFFICE PRODUCTS, LLC",
79787440,Geo Care,Geo Care LLC,GEO CARE LLC,
32093028,Laboratory Corporation of America,Laboratory Corporation of America,LABORATORY CORPORATION OF AMERICA,
947905766,Town of Islip,Town of Islip,"ISLIP, TOWN OF",
624462131,World Wide Enterprises,World Wide Enterprises Inc,WORLD WIDE ENTERPRISES INC,
31779838,County of San Diego,County of San Diego,"SAN DIEGO, COUNTY OF",
70965805,BNC Enterprises,BNC Enterprises LLC,BNC ENTERPRISES LLC,
197871515,City of Long Beach,City of Long Beach,"LONG BEACH, CITY OF",
803838374,Hudson River Park Trust,Hudson River Park Trust,HUDSON RIVER PARK TRUST,
781162391,Compass House,Compass House,COMPASS HOUSE,
131242658,Hartford Parking Authority,Hartford Parking Authority,HARTFORD PARKING AUTHORITY,
146708227,County of Kern,,"KERN, COUNTY OF",
965708477,Infocus Health,"Infocus Health, LLC","INFOCUS HEALTH, LLC",
171880859,Department of Emergency Services and Public Protection,Department of Emergency Services and Public Protection,DEPARTMENT OF EMERGENCY SERVICES AND PUBLIC PROTECTION,
10552933,Marentco,"Marentco, Inc.","MARENTCO, INC.",
139397058,B & K Technology Solutions,B & K Technology Solutions Inc.,B & K TECHNOLOGY SOLUTIONS INC,
606290401,Maxim Healthcare Services,"Maxim Healthcare Services, Inc.","MAXIM HEALTHCARE SERVICES, INC.",
26173034,Millennium Health & Fitness,Millennium Health & Fitness Inc.,MILLENNIUM HEALTH & FITNESS INC.,
134265938,Lionbridge Global Solutions II,"Lionbridge Global Solutions II, Inc.","LIONBRIDGE GLOBAL SOLUTIONS II, INC.",
606936271,AF&S Products & Services,"AF&s Products & Services, Inc.",AF&S PRODUCTS AND SERVICES LIMITED LIABILITY COMPANY,
42598482,Galls,"Galls, LLC","GALLS, INC",
787227599,Lighted Signs Direct,"Lighted Signs Direct, Inc","LIGHTED SIGNS DIRECT, INC",
966326514,Advanced Educational Products,"Advanced Educational Products, Inc.","ADVANCED EDUCATIONAL PRODUCTS, INC.",
48229301,People’S Accident Information Service,"People’s Accident Information Service, Inc.","PEOPLE'S ACCIDENT INFORMATION SERVICE, INC.",
112636170,TCS Interpreting,"TCS Interpreting, Inc.","TCS INTERPRETING, INC.",
175124957,C & M Truck & Tire Repair,C & M Truck & Tire Repair Corp,C & M TRUCK & TIRE REPAIR CORP,
74019126,Tonawanda SportSmen’s Club,Tonawanda Sportsmen’s Club Inc,TONAWANDA SPORTSMEN'S CLUB INC,
141089487,Imperial Valley Rifle & Pistol Association,Imperial Valley Rifle & Pistol Association,IMPERIAL VALLEY RIFLE & PISTOL ASSOCIATION,
75303198,Angeles Shooting Ranges,Angeles Shooting Ranges Inc,ANGELES SHOOTING RANGES INCORPORATED,
785918954,"HDR Environmental, Operations and Construction","HDR Environmental, Operations and Construction, Inc.","HDR ENVIRONMENTAL, OPERATIONS AND CONSTRUCTION, INC.",
33278685,Texas Workforce Commission,Texas Workforce Commission,TEXAS WORKFORCE COMMISSION,
962380692,Security Solutions Group,"Security Solutions Group, L.L.C.","SECURITY SOLUTIONS GROUP, L.L.C.",
23897666,Kevin Potter,Kevin Potter,KRP DATA SYSTEMS,
786892927,Rite-Kem,"Rite-Kem, Inc.","RITE-KEM, INC.",
957523111,Go & Zalez,Go & Zalez Inc.,GO & ZALEZ INC.,
39953744,Cih Support,"Cih Support, LLC","CIH SUPPORT, LLC",
6772929,Atlantic Petroleum Mineral Resources,Atlantic Petroleum Mineral Resources,"ATLANTIC PETROLEUM & MINERAL RESOURCES, INC",
46198011,Crossroads Courier,Crossroads Courier Inc.,CROSSROADS COURIER INC.,
80354344,Branded Global Partners,"Branded Global Partners, LLC","BRANDED GLOBAL PARTNERS, LLC",www.bgpds.com
38524929,River City Range,"RIVER CITY RANGE, LLC","RIVER CITY RANGE, LLC",
610509478,NC4 Public Sector,Nc4 Public Sector LLC,NC4 PUBLIC SECTOR LIMITED LIABILITY COMPANY,
69373090,Motorola Solutions,"MOTOROLA SOLUTIONS, INC.",MOTOROLA INCORPORATED,http://www.MotorolaSolutions.com
17764031,Layton Landscaping,,LAYTON LANDSCAPING,
6254833,Federal Cartridge Company,Federal Cartridge Company,FEDERAL CARTRIDGE COMPANY,
88057158,BSE Performance,Bse Performance LLC,BSE PERFORMANCE LLC,
152871823,Volicon,Volicon Inc.,VOLICON INC.,
193803103,Omni Business Systems-Fax Plus,Omni Business Systems-Fax Plus Inc.,FAX PLUS INCORPORATED,
603126678,Visionary Integration Professionals,,VISIONARY INTEGRATION PROFESSIONALS LLC,
18836440,The Corporate Source,The Corporate Source Inc,"CORPORATE SOURCE, INC., THE",
97779698,SRA International,"Sra International, Inc.",SYSTEMS RESEARCH AND APPLICATIONS CORPORATION,
623331717,Lexmark International,Lexmark International Inc.,LEXMARK INTERNATIONAL INC,
147851054,N California Regional Public Safety Training Authority,N California Regional Public Safety Training Authority,N CALIFORNIA REGIONAL PUBLIC SAFETY TRAINING AUTHORITY,
151480134,Technical Maintenance and Services,Technical Maintenance and Services Corp.,TECHNICAL MAINTENANCE AND SERVICES CORP,
112996327,Corp Ten International,Corp Ten International,CORP TEN INTERNATIONAL,
967488987,Leidos,"Leidos, Inc.","LEIDOS, INC.",
171898732,Global Tech,Global Tech Inc.,GLOBAL TECH INC.,
78738235,Aerostar Airport Holdings,"Aerostar Airport Holdings, LLC","AEROSTAR AIRPORT HOLDINGS, LLC",
845109339,Resurgens Risk Management,Resurgens Risk Management Inc,"RESURGENS RISK MANAGEMENT, INC.",
59954201,Neil S Hibler PHD Abbp,Neil S Hibler PHD Abbp,"HIBLER, NEIL S PHD ABBP",
66753844,Industrial Video & Control Co.,"Industrial Video & Control Co., LLC","INDUSTRIAL VIDEO & CONTROL CO., LLC",
168719552,ARC Aspicio,ARC Aspicio LLC,ARC ASPICIO LLC,
143692858,Java Productions,"JAVA PRODUCTIONS, INC.","JAVA PRODUCTIONS, INC.",
9043600,Parker Tide,Parker Tide Corp.,PARKER TIDE CORP.,
132498200,Knowledgebank,"Knowledgebank, Inc.","KNOWLEDGEBANK, INC.",
38798468,Economic Systems,"Economic Systems, Inc.","ECONOMIC SYSTEMS, INC.",
72637457,McManis Associates,McManis Associates Inc.,MCMANIS ASSOCIATES INC,
1727135,Managed Care Advisors,"Managed Care Advisors, Inc.","MANAGED CARE ADVISORS, INC.",
621534887,Halo Group,"Halo Group, Inc.","HALO GROUP, INC.",
29640740,Convergint Technologies,Convergint Technologies LLC,CONVERGINT TECHNOLOGIES LLC,
137672239,Todd Radford,Todd Radford,TODD RADFORD,
48822402,International Satellite Services,"International Satellite Services, Inc.","INTERNATIONAL SATELLITE SERVICES, INC.",
34595699,Alta Language Services,"Alta Language Services, Inc","ALTA LANGUAGE SERVICES, INC",
115415338,HR Anew,"Hr Anew, Inc.","HR ANEW, INC.",
556978807,Cartridge Technologies,"Cartridge Technologies, Inc.","CARTRIDGE TECHNOLOGIES, INC.",
843894523,Lindholm & Associates,"LINDHOLM & ASSOCIATES, INC.",LINDHOLM AND ASSOCIATES INCORPORATED,http://www.lindholm-associates.com
805340247,Michigan Department of State Police,Michigan Department of State Police,"STATE POLICE, MICHIGAN DEPARTMENT OF",
54977231,City of New York,City of New York,"NEW YORK, CITY OF",
839709532,Seattle Police Athletic Assoc,Seattle Police Athletic Assoc,SEATTLE POLICE ATHLETIC ASSOC,
148015449,County of Imperial,County of Imperial,"IMPERIAL, COUNTY (INC)",
79481448,Cold Box Express,"Cold Box Express, LLC",COLD BOX EXPRESS LLC,
963846097,Pat V. MacK,"Pat V. Mack, Inc.","PAT V. MACK, INC.",
52128984,Greenzone Solutions,"Greenzone Solutions, Inc.","GREENZONE SOLUTIONS, INC.",
1423631,Northeastern University,Northeastern University,NORTHEASTERN UNIVERSITY,
965603293,Legal Interpreting Services,"Legal Interpreting Services, Inc.","LEGAL INTERPRETING SERVICES, INC.",
3592412,Solutions Through Innovative Technologies,"Solutions Through Innovative Technologies, Inc.","SOLUTIONS THROUGH INNOVATIVE TECHNOLOGIES, INC.",
192770050,Acorn Office Products,"Acorn Office Products, LLC",ACORN OFFICE PRODUCTS LLC,
197503212,Gemini Industries,Gemini Industries Inc.,GEMINI INDUSTRIES INC.,
878854504,EMS Safety Services,Ems Safety Services Inc,EMS SAFETY SERVICES INC,
808354448,Shine Enterprises,"SHINE ENTERPRISES, LLC","SHINE ENTERPRISES, LLC",
18193669,Integral Consulting Services,Integral Consulting Services Incorporated,INTEGRAL CONSULTING SERVICES INCORPORATED,
125368121,Zenetex,"Zenetex, LLC","ZENETEX, LLC",
124333886,Carey & Company,"Carey & Company, Ltd.","CAREY & COMPANY, LTD.",
617942987,Ardent Management Consulting,"Ardent Management Consulting, Inc.",ARDENT MANAGEMENT CONSULTING INCORPORATED,
933678708,Red River Technology,Red River Technology LLC,"RED RIVER COMPUTER CO., INC.",
37153124,Last Mile,"Last Mile, Inc.","CASCADE NETWORKS, INC.",
965105120,Close Quarters Tactical,"Close Quarters Tactical, LLC","CLOSE QUARTERS TACTICAL, LLC",
36982932,Federal Hearings and Appeals Services,"Federal Hearings and Appeals Services, Inc.","FEDERAL HEARINGS AND APPEALS SERVICES, INC.",
70343640,City of Orlando,City of Orlando,"ORLANDO, CITY OF",
148102890,County of Hillsborough,County of Hillsborough,"HILLSBOROUGH, COUNTY OF",
784154895,Incident Communication Solutions,"Incident Communication Solutions, LLC","INCIDENT COMMUNICATION SOLUTIONS, LLC",
945193316,Folsom Shooting Club,Folsom Shooting Club Inc,FOLSOM SHOOTING CLUB INC,
945163509,Supreme Security Systems,"Supreme Security Systems, Inc.","SUPREME SECURITY SYSTEMS, INC.",
177886848,ANSI-ASQ National Accreditation Board,"ANSI-ASQ National Accreditation Board, LLC","ANSI-ASQ NATIONAL ACCREDITATION BOARD, LLC",http://www.anab.org
2906605,"Jeanne M. Vonhof, Arbitrator and Mediator","Vonhof, Jeanne M Arbitrator and Mediator","VONHOF, JEANNE M ARBITRATOR AND MEDIATOR",
800250008,Inseego North America,"Inseego North America, LLC","FEENEY WIRELESS, LLC",
144579815,South Metro Public Safety Training Facility,SOUTH METRO PUBLIC SAFETY TRAINING FACILITY,SOUTH METRO PUBLIC SAFETY TRAINING FACILITY,
957578685,Vohne Liche Kennels,Vohne Liche Kennels Inc,VOHNE LICHE KENNELS INC,
79359314,Lurk Enterprise Solutions,Lurk Enterprise Solutions LLC,LURK ENTERPRISE SOLUTIONS,
79251332,Mountain RF Sensors,"Mountain Rf Sensors, Inc.","MOUNTAIN RF SENSORS, INC",
63690705,University of Alabama at Birmingham,University Of Alabama At Birmingham,UNIVERSITY OF ALABAMA AT BIRMINGHAM,www.uab.edu
135838084,Dun & Bradstreet,"Dun & Bradstreet, Inc.","DUN & BRADSTREET, INC.",
52311607,Insight Technology Solutions,Insight Technology Solutions Inc.,INSIGHT TECHNOLOGY SOLUTIONS INC.,
613480586,Weber Computer Supply Company,Weber Computer Supply Company,WEBER COMPUTER SUPPLY COMPANY,
848452090,Advanced Technology Group,Advanced Technology Group Inc,"ADVANCED TECHNOLOGY GROUP, INC.",
66088902,Crime Point,"CRIME POINT, INC.","CRIME POINT, INC.",http://www.crimepoint.net
4321519,Fisher Scientific Company,Fisher Scientific Company LLC,FISHER SCIENTIFIC COMPANY L.L.C.,
784227402,CBT Nuggets,"Cbt Nuggets, LLC","CBT NUGGETS, LLC",
788479368,Exxact Corporation,Exxact Corporation,EXXACT CORPORATION,
4001731,Altec Industries,"Altec Industries, Inc.",ALTEC INDUSTRIES INC,
155143050,Fox River Graphics,"Fox River Graphics, LLC",FOX RIVER GRAPHICS,
191974203,Deluxe Delivery Systems,Deluxe Delivery Systems Inc.,DELUXE DELIVERY SYSTEMS INC.,
108840075,American Expediting Company,American Expediting Company,AMERICAN EXPEDITING COMPANY,
79748458,Daigger Scientific,"Daigger Scientific, Inc.","DAIGGER SCIENTIFIC, INC.",
110482101,Watch Systems,"Watch Systems, L.L.C.",WATCH SYSTEMS LIMITED LIABILITY COMPANY,
58215778,Keysight Technologies,"Keysight Technologies, Inc.","KEYSIGHT TECHNOLOGIES, INC.",
58916180,Southern Police Equipment Company,"Southern Police Equipment Company, Inc.",SOUTHERN POLICE EQUIPMENT COMPANY INCORPORATED,
619503634,Conference Technologies,"Conference Technologies, Inc.","CONFERENCE TECHNOLOGIES, INC.",
836284091,WECsys,Wecsys LLC,WECSYS LIMITED LIABILITY COMPANY (6769),
926705633,Global Data Center,Global Data Center Inc.,GLOBAL DATA CENTER INC,
949873624,AllWorld Language Consultants,Allworld Language Consultants Inc.,ALLWORLD LANGUAGE CONSULTANTS INC.,
186945325,Metropolitan Interpreters & Translators,"Metropolitan Interpreters & Translators, Inc.","METROPOLITAN INTERPRETERS & TRANSLATORS, INC.",
5065946,Conduit Language Specialists,"Conduit Language Specialists, Inc.","CONDUIT LANGUAGE SPECIALISTS, INC.",
967488581,Leidos,"Leidos, Inc.","LEIDOS, INC.",
106001675,Farber Specialty Vehicles,"Farber Specialty Vehicles, Inc.","FARBER SPECIALTY VEHICLES, INC",
878515956,Nord Atlantic Trading,Nord Atlantic Trading Inc,NORD ATLANTIC TRADING INC,
79673287,Adapt Pharma,Adapt Pharma Inc.,ADAPT PHARMA INC.,
785807611,Government Scientific Source,"Government Scientific Source, Inc.",GOVERNMENT SCIENTIFIC SOURCE INCORPORATED,
616385667,ASE Direct,"Ase Direct, Inc.","ASE DIRECT, INC.",
809019180,Potomacwave Consulting,"Potomacwave Consulting, Inc.","POTOMACWAVE CONSULTING, INC.",
827022141,Nelson Enterprise Technology Services,Nelson Enterprise Technology Services LLC,NELSON ENTERPRISE TECHNOLOGY SERVICES LLC,
6130371,The Medalcraft Mint,The Medalcraft Mint Inc,"MEDALCRAFT MINT, INC, THE",
790934285,University of Maryland,University of Maryland,UNIVERSITY OF MARYLAND,
942408766,MA Federal,"MA Federal, Inc.","MA FEDERAL, INC.",
21715206,Harris Corporation,Harris Corporation,HARRIS CORPORATION,
963484485,AccessData Group,"Accessdata Group, Inc.",ACCESSDATA GROUP INC.,
78381879,Rigaku Analytical Devices,"Rigaku Analytical Devices, Inc.","RIGAKU ANALYTICAL DEVICES, INC.",
14514541,Adams Evidence Grade Technology,"Adams Evidence Grade Technology, Inc.","ADAMS EVIDENCE GRADE TECHNOLOGY, INC.",
86251469,B.E. Meyers & Co.,B.E. Meyers & Co. Inc.,B.E. MEYERS & CO. INC.,
829695530,Progressive Environmental Services,"Progressive Environmental Services, Inc.","PROGRESSIVE ENVIRONMENTAL SERVICES, INC.",
10588770,The Village of Oak Lawn,The Village of Oak Lawn,"VILLAGE OF OAK LAWN, THE",
25163324,Family First 5,Family First 5 Inc.,FAMILY FIRST 5 INC.,
169942591,Scif Solutions,"Scif Solutions, Inc.","SCIF SOLUTIONS, INC.",
69482114,Cleatech,Cleatech LLC,CLEATECH LLC,
189211050,Motiondsp,,"MOTIONDSP, INC.",
797052701,Susteen,"Susteen, Inc.",SUSTEEN INC,
217402193,Matt Burns,MATT BURNS LTD,MATT BURNS LTD,
131951972,Capital Compressor,"Capital Compressor, Inc.","CAPITAL COMPRESSOR, INC.",
80638467,Griffeye,Griffeye Inc.,GRIFFEYE INC.,
111476313,The Escal Institute of Advanced Technologies,The Escal Institute of Advanced Technologies Inc,"ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC., THE",
9266052,Sirina Protection Systems,Sirina Protection Systems Corp.,SIRINA PROTECTION SYSTEMS CORP.,
136391252,Foster & Freeman USA,Foster & Freeman USA Inc.,FOSTER & FREEMAN USA INC.,
50669670,Central Parking Corporation,Central Parking Corporation ,CENTRAL PARKING CORPORATION,http://www.spplus.com
5506826,Mystaire,Mystaire Inc.,MYSTAIRE INC.,
787361302,Square One Armoring Services Co,Square One Armoring Services Co,SQUARE ONE ARMORING SERVICES CO.,
79197169,Simple Technology Solutions,"Simple Technology Solutions, Inc.",SIMPLE TECHNOLOGY SOLUTIONS INC.,
847414760,Scaletta Moloney Armoring,Scaletta Moloney Armoring Corp,SCALETTA MOLONEY ARMORING CORP,
808862598,V3gate,"V3gate, LLC","V3GATE, LLC",
15247885,Northrop Grumman Systems Corporation,Northrop Grumman Systems Corporation,NORTHROP GRUMMAN SYSTEMS CORPORATION,
164947314,Whispering Pines Enterprises,"WHISPERING PINES ENTERPRISES, LTD","WHISPERING PINES ENTERPRISES, LTD",
103197583,Ewa Government Systems,"Ewa Government Systems, Inc.","EWA GOVERNMENT SYSTEMS, INC.",
799458039,Nal Research,Nal Research Corp.,NAL RESEARCH CORP.,
85619880,Word Systems,Word Systems Inc,WORD SYSTEMS INC,
962916144,Truckvault,"Truckvault, Inc.","TRUCKVAULT, INC.",
806026852,Ecs Federal,"Ecs Federal, LLC","ECS FEDERAL, LLC",
