detloc,state,source,author,title,description,url
"BWMARCA","California","Latimes.com","Jack Flemming","T. Boone Pickens lists his massive Texas ranch for $250 million","Oil tycoon T. Boone Pickens’ 65,000-acre ranch, which he’s been assembling piece by piece since 1971, is on the market for a whopping $250 million. Spanning over 100 miles in the Texas Panhandle, the property known as the Mesa Vista Ranch combines homes, lodg…","http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-t-boone-pickens-20171129-story.html"
"BWMARCA","California","Latimes.com","Mike Morris","Escape to California's quaint Moss Landing for a family weekend filled with kayaking and fresh seafood","The quaint fishing village of Moss Landing caught my attention a few years ago as I was driving along California’s Central Coast between Santa Cruz and Monterey. My wife, our two kids and I finally got to explore the area in the fall. Moss Landing, founded in…","http://www.latimes.com/travel/deals/la-tr-escape-moss-landing-20180118-story.html"
"BWMARCA","California","Latimes.com","Jack Flemming","Los Angeles ranks No. 5 nationally in return on investment for long-term homeowners","Los Angeles homeowners who sold last year after holding on to their homes for a long period of time saw sizable returns on their investments. The typical Los Angeles home seller made $200,000 on the sale of a home in 2016 after owning it for a median period o…","http://www.latimes.com/business/realestate/hot-property/la-fi-hp-los-angeles-house-sale-20170930-story.html"
"BWMARCA","California","Latimes.com","Glenn Whipp","'Black Panther' and nine other movies we could be talking about at the 2019 Oscars","Given the number of times Oscars host Jimmy Kimmel mentioned “Black Panther” last Sunday, you’d think the wildly successful Marvel movie was among the best picture nominees. Nope. But it will be next year. The Oscars need “Black Panther” way more than “Black …","http://www.latimes.com/entertainment/envelope/la-en-mn-oscars-best-picture-2019-story.html"
"BWMARCA","California","Variety.com","malinasaval","The Best Apres-Oscars Vacation Spots For Celebrities and Civilians Alike","When awards season ends — or in reality, goes into a brief lull — it’s time to shift gears back into creative mode. These are places where stressed-out and played-out showbizzers can go make-up free, where they can replace the glam squad with a juice cleanse,…","http://variety.com/2018/biz/awards/best-apres-oscars-spots-celebrities-civilians-1202713780/"
"BWMARCA","California","Latimes.com","Rachel Tepper Paley","How to buy eco-friendly flowers for Valentine's Day","While it may be fashionable to investigate the early childhood of your steak, when was the last time you asked your florist about the provenance of your peonies? According to the most recent U.S. Department of Agriculture figures, the U.S. produced $374 milli…","http://www.latimes.com/business/la-fi-flowers-sustainable-20180213-story.html"
"BWMARCA","California","Latimes.com","Chris Megerian, Melanie Mason, Dakota Smith, Jack Dolan","In her own words: Women of California politics tell their stories of sexual harassment and unwanted touching","It started as a chain of text messages among women complaining about sexism in California's Capitol, then snowballed into a searing open letter about a culture of sexual harassment in Sacramento, released in mid-October. Now women are sharing their stories.","http://www.latimes.com/politics/la-pol-ca-sexual-harassment-sacramento-2017-htmlstory.html"
"BWMARCA","California","Latimes.com","Chris Megerian, Melanie Mason, Dakota Smith, Jack Dolan","In her own words: Women of California politics tell their stories of sexual harassment and unwanted touching","It started as a chain of text messages among women complaining about sexism in California's Capitol, then snowballed into a searing open letter about a culture of sexual harassment in Sacramento, released in mid-October. Now women are sharing their stories.","http://www.latimes.com/politics/la-pol-ca-sexual-harassment-sacramento-2017-htmlstory.html"
"BUTLEOH","Ohio","Dispatch.com","Earl Rinehart","Surge in prisoners prompts federal court to contract with northwest Ohio jail","Benjamin C. Glassman is costing taxpayers more money, and he's OK with that.Glassman, the U.S. attorney for the Southern District of Ohio, is reaching far and wide — very far, in some cases — to fight crime that could hurt Ohioans.He persuaded the U.S. Drug E…","http://www.dispatch.com/news/20171022/surge-in-prisoners-prompts-federal-court-to-contract-with-northwest-ohio-jail"
"BUTLEOH","Ohio","Dispatch.com","Earl Rinehart","Feds drop deportation case after ICE's Columbus traffic stop challenged","Zenon Natividad Cruz was driving with his wife to work early on the morning of Feb. 5, 2016, when the inside of their vehicle lit up with blue flashing lights.A police officer was pulling them over. Natividad Cruz couldn't think of what he had done wrong. Wha…","http://www.dispatch.com/news/20171204/feds-drop-deportation-case-after-ices-columbus-traffic-stop-challenged"
"CACHEUT","Utah","Sltrib.com","https://www.facebook.com/schreifels.miller","A Utah mother and her young son went missing in 2015. Authorities now believe her boyfriend killed them. - Salt Lake Tribune","Salt Lake Tribune A Utah mother and her young son went missing in 2015. Authorities now believe her boyfriend killed them. Salt Lake Tribune Christopher Poulson was arrested in Hawaii and has been charged with two counts of aggravated murder. A Utah mother an…","http://www.sltrib.com/news/2017/10/30/utah-double-murder-suspect-arrested-in-hawaii/"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of detention facilities under...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of detention facilities under...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"CACFMES","California","Latimes.com","Jazmine Ulloa","California could soon bar the expansion of immigrant detention centers run by private companies","California lawmakers have approved legislation introduced by Democrats to counter the potential expansion of immigrant detention facili...","http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-could-soon-bar-the-expansion-1505410033-htmlstory.html"
"BRINDMA","Massachusetts","Thesunchronicle.com","By David Linton dlinton@thesunchronicle.com","Alleged mastermind in $2 million Attleboro gold theft to stand trial","ATTLEBORO — The alleged mastermind of the “Ocean’s Eleven,” high-tech, $2 million gold heist at an Attleboro jewelry company a decade ago is scheduled to stand trial on Monday.","http://www.thesunchronicle.com/news/local_news/alleged-mastermind-in-million-attleboro-gold-theft-to-stand-trial/article_9b4edc2f-f82e-5e1c-ae59-e86a0a1b27a3.html"
"CARJAMN","Minnesota","Startribune.com","Liz Sawyer","Scott County to establish new mobile mental health crisis unit","In an end to longtime collaboration with Carver County, Scott leaders seek dedicated team to meet residents’ growing needs.","http://www.startribune.com/scott-county-to-establish-new-mobile-mental-health-crisis-unit/466670463/"
"CARJAMN","Minnesota","Startribune.com",null,"Carver, Wright county sheriffs hang up their badges","He oversaw public safety for the Ryder Cup and after Prince died.","http://www.startribune.com/carver-wright-county-sheriffs-hang-up-their-badges/473745833/"
"CARJAMN","Minnesota","Startribune.com","Pat Pheifer","Alleged dealer charged with murder after OD death of Carver County woman","A young woman from Watertown, Minn., died last week of a fentanyl overdose and a 29-year-old man who allegedly supplied her with the drug has been arrested.","http://www.startribune.com/alleged-dealer-charged-with-murder-after-od-death-of-carver-county-woman/478232623/"
"CARJAMN","Minnesota","Startribune.com","Mila Koumpilova","Minnesota county jails do brisker business with immigration authorities","Two lines of summary are here and here and here.","http://www.startribune.com/minnesota-county-jails-do-brisker-business-with-immigration-authorities/450344373/"
"CARJAMN","Minnesota","Startribune.com","Star Tribune Staff","Minnesota man arrested after girlfriend fatally struck","Authorities have arrested a 42-year-old Minnesota man after his girlfriend was fatally struck by a car.","http://www.startribune.com/minnesota-man-arrested-after-girlfriend-fatally-struck/457839613/"
"CARJAMN","Minnesota","Startribune.com","Mila Koumpilova","Ramsey County jail will no longer house immigration detainees","Holding immigration detainees became too costly and burdensome.","http://www.startribune.com/ramsey-county-jail-will-no-longer-house-immigration-detainees/470207473/"
"CARJAMN","Minnesota","Startribune.com","Mila Koumpilova","Prison companies, Sherburne County offer proposals for expanded immigration detention","Immigrant advocates are concerned about expanding detention facilities.","http://www.startribune.com/prison-companies-sherburne-county-offer-proposals-for-expanded-immigration-detention/482605931/"
"CARJAMN","Minnesota","Startribune.com","David Chanen","Metro counties give final approval to 2018 budgets","Final Hennepin tax levy lower than initial September projection.","http://www.startribune.com/metro-counties-give-final-approval-to-2018-budgets/463780713/"
"CARJAMN","Minnesota","Startribune.com","Star Tribune Staff","South metro police blotter, Nov. 5","Follow the StarTribune for the news, photos and videos from the Twin Cities and beyond.","http://www.startribune.com/south-metro-police-blotter-nov-5/455099683/"
"CACTYCA","California","Latimes.com","David Montero","O.J. Simpson released from Nevada prison","OJ Simpson is free. The former football star who spent the last nine years in prison for a 2008 armed robbery and kidnapping in Las Vegas was paroled early Sunday, a Nevada prison official told the Associated Press. Simpson, 70, had been in the Lovelock Corre…","http://www.latimes.com/nation/la-na-oj-simpson-released-2017-story.html"
"CACTYCA","California","Latimes.com","David Montero","Speculation swirls over when O.J. Simpson's release from Nevada prison will happen","This time, it’s speculation and rumors chasing O.J. Simpson. The former football star could be released as soon as Monday from prison over his 2008 armed robbery and kidnapping convictions in Las Vegas. But Nevada Department of Corrections officials have been…","http://www.latimes.com/nation/la-na-oj-simpson-rumors-20170930-story.html"
"CACTYCA","California","Latimes.com","Nina Agrawal","Citing potential danger, judge orders anonymous jury in 'El Chapo' trial","A federal judge has ordered that the identities of jurors in the upcoming trial against drug kingpin Joaquin “El Chapo” Guzman be kept secret and that the jurors be partially sequestered during court proceedings to protect their privacy and safety. In court d…","http://www.latimes.com/nation/la-na-el-chapo-jury-20180206-story.html"
"CACTYCA","California","Latimes.com","Carolina A. Miranda","How the black radical female artists of the '60s and '70s made art that speaks to today's politics","An exhibition at the California African American Museum looks at feminism through a distinctly black lens - highlighting little-seen works in the process.","http://www.latimes.com/entertainment/arts/miranda/la-et-cam-black-radical-women-caam-20171228-htmlstory.html"
"CACTYCA","California","Latimes.com","Carolina A. Miranda","How the black radical female artists of the '60s and '70s made art that speaks to today's politics","An exhibition at the California African American Museum looks at feminism through a distinctly black lens - highlighting little-seen works in the process.","http://www.latimes.com/entertainment/arts/miranda/la-et-cam-black-radical-women-caam-20171228-htmlstory.html"
"CACTYCA","California","Latimes.com","Los Angeles Times","A prison newsroom mourns its former editor in chief, recently released and then killed in a crash","Arnulfo Garcia, prisoner who brought great change at San Quentin State Prison, dies in car crash two months after his release","http://www.latimes.com/local/california/la-me-san-quentin-20171008-htmlstory.html"
"CACTYCA","California","Latimes.com","Maya Lau, Ben Poston, Corina Knoll","Sex. Lies. Abuse. How these L.A. deputies landed on a secret 2014 list of problem officers","The Times reviewed a version of the so-called Brady list from 2014 and obtained government and court documents that detail the accusations against the deputies.","http://www.latimes.com/local/california/la-me-2014-brady-list-deputies-20171208-htmlstory.html"
"CALHOMI","Michigan","Freep.com","Detroit Free Press, Detroit Free Press","Iraqi detainee expected to be released on $3,000 bond","Mukhlis Murad, 59, is one of hundreds of Iraqis detained by ICE. A Detroit immigration judge said he could be released on $3,000 bond.","https://www.freep.com/story/news/2018/01/09/iraqi-detainee-murad-battle-creek/1017210001/?utm_source=google&utm_medium=amp&utm_campaign=speakable"
"CCAFLAZ","Arizona","Azcentral.com","The Republic | azcentral.com, Victor Ren, The Republic | azcentral.com","Arizona prison officer arrested on suspicion of sexual conduct with minor","Paul Thornton, 46, was arrested after police investigated a report of an adult male and juvenile female “making out.“","https://www.azcentral.com/story/news/local/arizona-breaking/2018/02/09/arizona-prison-officer-arrested-suspicion-sexual-conduct-minor/325026002/?utm_source=google&utm_medium=amp&utm_campaign=speakable"
"CCAFLAZ","Arizona","Azcentral.com","The Republic | azcentral.com, Ken Alltucker, The Republic | azcentral.com","Florence prison doctor disciplined for prescribing testosterone, hormones during off-hours","A doctor at Florence prison agrees to Arizona Medical Board order that includes probation for improperly prescribing testosterone and other hormones.","https://www.azcentral.com/story/news/local/pinal/2018/04/05/florence-prison-doctor-disciplined-prescribing-testosterone-hormones-during-off-hours/482616002/?utm_source=google&utm_medium=amp&utm_campaign=speakable"
"CCAFLAZ","Arizona","Azcentral.com","The Republic | azcentral.com, Craig Harris, The Republic | azcentral.com","Yuma officers tried to warn Corrections about riot, but officials ignored tip, attorney says","Officers in Yuma warned Corrections about talk of a March 1 riot, but officials ignored the tip and understaffed the unit, attorney says.","https://www.azcentral.com/story/news/local/arizona/2018/03/05/yuma-officers-warn-corrections-riot-but-officials-ignored-tip-attorney/396471002/?utm_source=google&utm_medium=amp&utm_campaign=speakable"
"CCAFLAZ","Arizona","Azcentral.com","The Republic | azcentral.com, The Republic | azcentral.com","Nevada sending 200 violent inmates to Arizona private prison in Eloy","Nevada, facing a prison-bed shortage, will send 200 violent inmates, including gang members, to a CoreCivic private prison in Eloy, Arizona.","http://www.azcentral.com/story/news/local/arizona/2017/10/12/nevada-sends-200-violent-inmates-to-arizona-eloy-private-prison/758362001/"
"CCAFLAZ","Arizona","Azcentral.com","The Republic | azcentral.com, Craig Harris, The Republic | azcentral.com","Yuma inmates warned Corrections about potential for riot, but officials ignored tip, attorney says","Inmates in Yuma warned Corrections about talk of a March 1 riot, but officials ignored the tip and understaffed the unit, attorney says.","https://www.azcentral.com/story/news/local/arizona/2018/03/05/yuma-inmates-warned-potential-riot-but-officials-ignored-tip-attorney-says/396471002/?utm_source=google&utm_medium=amp&utm_campaign=speakable"
"CCAFLAZ","Arizona","Azcentral.com","The Republic | azcentral.com, Michael Kiefer, The Republic | azcentral.com","Did Arizona's inmate-care provider deny care to avoid fines? Judge hears testimony in case","A hearing in U.S. District Court in Phoenix is addressing whether or not the inmate-care provider failed to care for inmates in order to avoid fines.","https://www.azcentral.com/story/news/local/phoenix/2018/02/27/arizona-judge-hears-testimony-over-whether-corizon-inmate-care-provider-denied-care-avoid-fines/378472002/?utm_source=google&utm_medium=amp&utm_campaign=speakable"
"CCAFLAZ","Arizona","Azcentral.com","The Republic | azcentral.com, Michael Kiefer, The Republic | azcentral.com","Judge rejects state bid to remove him from Arizona prison health case","The state could face fines for failing to agree to terms of settlement in suit alleging inadequate inmate care.","https://www.azcentral.com/story/news/local/arizona/2018/05/03/judge-rejects-state-bid-remove-him-arizona-prison-health-case/577262002/?utm_source=google&utm_medium=amp&utm_campaign=speakable"
"CCANOOH","Ohio","Cleveland.com","Plain Dealer staff","Youngstown businessman Amer Othman Adi deported to Jordan - cleveland.com","cleveland.com Youngstown businessman Amer Othman Adi deported to Jordan cleveland.com U.S. Rep. Tim Ryan (left) hugs Youngstown businessman Amer Othman Adi after learning on January 5 that immigration officials suspended his deportation. (photo courtesy of Re…","http://www.cleveland.com/metro/index.ssf/2018/01/youngstown_businessman_amer_ot.html"
"COBBJGA","Georgia","Ajc.com","Zachary Hansen","Former NBA player charged for home invasion...","A former NBA player who went to high school in Cobb County was arrested Friday night in connection w...","https://www.ajc.com/news/crime--law/former-nba-player-charged-with-armed-robbery-coweta-county/RKsjSFosvDioSvzq2AkqzO/"
"COBBJGA","Georgia","Ajc.com","Fleming Smith","Ex-NBA player stole $100000, assaulted teen during home invasion, officials say - Atlanta Journal Constitution","Atlanta Journal Constitution Ex-NBA player stole $100000, assaulted teen during home invasion, officials say Atlanta Journal Constitution A former NBA player who went to high school in Cobb County stole $100,000 during a violent Coweta County home invasion an…","https://www.ajc.com/news/breaking-news/new-details-nba-player-stole-100-000-assaulted-teen-during-home-invasion/BXuwYRb48gYgW7aUcU1ubJ/"
"CHARLSC","South Carolina","Thestate.com","By Noah Feit nfeit@thestate.com","Woman takes toddler, puppy on high-speed chase that ends in fiery crash — and a rescue, cops say","In Charleston County, South Carolina, a woman ignored deputies and led a high-speed chase before losing control and crashing into trees in McClellanville in a fiery wreck where her passenger, a toddler and a puppy had to be rescued, the Sheriff's Office said.","http://www.thestate.com/news/local/crime/article210904514.html"
"CHARLSC","South Carolina","Thestate.com","By Noah Feit nfeit@thestate.com","Woman takes toddler, puppy on high-speed chase that ends in fiery crash — and a rescue, cops say","In Charleston County, South Carolina, a woman ignored deputies and led a high-speed chase before losing control and crashing into trees in McClellanville in a fiery wreck where her passenger, a toddler and a puppy had to be rescued, the Sheriff's Office said.","http://www.thestate.com/news/local/crime/article210904514.html"
"CHARLSC","South Carolina","Thestate.com","By Noah Feit and John Monk nfeit@thestate.com jmonk@thestate.com","Sister of Charleston church shooter Dylann Roof made threat, had weapon at AC Flora","Morgan Roof, the younger sister of convicted Charleston church shooter Dylann Roof, was arrested for making a violent threat against students at AC Flora High School, according to the Richland County Sheriff's Department.","http://www.thestate.com/news/local/crime/article205168669.html"
"CHARLSC","South Carolina","Thestate.com","By Noah Feit nfeit@thestate.com","College baseball player is accused of raping woman who said he was a brother figure, police say","A Charleston Southern baseball player was arrested and charged with first-degree criminal sexual conduct, according to the North Charleston Police Department, which said the pitcher raped a woman at his off-campus apartment after a night out drinking.","http://www.thestate.com/news/local/crime/article209865024.html"
"CHARLSC","South Carolina","Thestate.com","By Noah Feit nfeit@thestate.com","His wife died Tuesday, but Lexington doctor was charged in another death days later, coroner says","The wife of Dr. Adam Lazzarini, who works for Lexington Medical Center, was found dead in her Cayce home May 1, 2018. On May 3, Lazzarini was charged in the fatal shooting of a Columbia, SC salesman at the same residence, according to the coroner.","http://www.thestate.com/news/local/crime/article210414589.html"
"CHARLSC","South Carolina","Heraldonline.com","By Stephanie Jadrnicek Special to the Fort Mill Times","In South Carolina, losing voting rights after a felony conviction not a life sentence","Did you know? South Carolina is one of 21 states which allows former felons to restore their voting rights after serving their entire sentence, including parole and/or probation. The League of Women Voters in Charleston is trying to spread the word to encoura…","http://www.heraldonline.com/news/local/community/fort-mill-times/article212308049.html"
"CHARLSC","South Carolina","Thestate.com","By Noah Feit nfeit@thestate.com","He gave his 89-year-old neighbor a drug-laced brownie — then robbed her, police say","A South Carolina teenager was arrested and charged after he laced a brownie with drugs and gave it to his 89-year-old neighbor before robbing her home, according to authorities. Christian … Click to Continue »","http://www.thestate.com/news/local/crime/article208655944.html"
"CHARLSC","South Carolina","Thestate.com","By Jared Gilmour jgilmour@mcclatchy.com","Missing bus turned up in the woods. A fugitive, meth and spray paint cans were inside, S.C. cops say","Apparently a coat of blue paint isn't the most effective disguise for a stolen school bus. Deputies arrested a fugitive on Thursday in Ladson, South Carolina, after they discovered him … Click to Continue »","http://www.thestate.com/news/nation-world/national/article209489869.html"
"CONCOCA","California","Latimes.com","Paige St. John, Abbie VanSickle","California’s local D.A. races become big-dollar battleground in nation’s justice debate","In most district attorney elections, the campaign playbook is clear: Win over the local cops and talk tough on crime. But in California this year, the strategy is being turned on its head. Wealthy donors are spending millions of dollars to back would-be prose…","http://www.latimes.com/local/california/la-me-prosecutor-campaign-20180523-story.html"
"CONCOCA","California","Latimes.com","Jazmine Ulloa","To prevent wrongful convictions, California considering new eyewitness lineup standards","Ricardo Aguilera identified a teenager with a bald fade haircut and a mustache as the drive-by shooter who fired a bullet into the back of his head. He picked the potential suspect out of a photo lineup of 10 people. But the picture was at least eight years o…","http://www.latimes.com/politics/la-pol-ca-california-eyewitness-police-standards-20180124-story.html"
"CONCOCA","California","Latimes.com","Jazmine Ulloa","Gov. Jerry Brown signs legislation to ease punishment, criminal fines for juvenile offenders","Gov. Jerry Brown on Wednesday signed nine bills to aid young people facing charges and serving time, a victory for a statewide coalition of criminal justice groups that brought together celebrities and former youth offenders in a push to divert children from …","http://www.latimes.com/politics/la-pol-ca-jerry-brown-juvenile-justice-bills-20171011-story.html"
"DAKOTNE","Nebraska","Omaha.com","By Paul Hammel World-Herald Bureau","Turnover at Nebraska prisons increases to 34 percent, despite state's efforts","Turnover for such workers rose to the highest in recent memory, 34 percent, up from 31 percent in 2016. Overtime expenses are also on pace to eclipse the $9.3 million spent during the 2016-17 fiscal year.","http://www.omaha.com/news/nebraska/turnover-at-nebraska-prisons-increases-to-percent-despite-state-s/article_c82b7da7-97dc-5a2c-9caf-6e0b60322f0f.html"
"DAKOTNE","Nebraska","Omaha.com",null,"20180217_new_briefs_merged","Metro area","http://www.omaha.com/news/new-briefs-merged/article_4a154e87-70f4-5a60-9f82-952b508d10a8.html"
